Size (bp),CT_PD1,NE_MRL1, YC_PD1,CT_Large3,CT_PD2,NE_MRL2, YC_PD2,CT_PD3,NE_MRL3, YC_PD3,CT_MRL1,NE_PD1, YC_MRL1,CT_MRL2,NE_PD2, YC_MRL2,CT_MRL3,NE_PD3, YC_MRL3,CT_Large1,NE_Large1, YC_Large1,CT_Large2,NE_Large2, YC_Large2,NE_Large3,YC_Large3
6826.63,-0.26,4.03,4.56,-1.62,1.27,4.23,17.69,0.69,2.26,3.18,6.21,3.91,2.95,3.93,6.22,9.54,3.17,1.45,2.33,-0.09,1.44,4.73,7.14,5.43,4.08,5.05,1.74
6851.68,0.49,3.03,4.72,-1.45,3.39,4.24,16.4,1.44,3.07,4.64,4.87,4.08,3.82,4.57,5.94,8.32,2.22,2.26,1.25,-1.23,1.04,5.42,7.92,3.94,3.91,4.79,2.69
6876.73,0.38,2.35,3.77,-0.52,4.44,4.48,13.93,3,2.71,5.11,3.5,3.36,4.94,4.63,4.01,7.66,0.94,2.32,1,-1.73,1.2,6.24,7.88,0.99,4.63,4.22,1.97
6901.79,-0.53,2.1,1.96,0.04,4.55,4.9,10.94,4.92,1.24,4.02,2.86,2.87,5.03,4.99,1.09,8.04,-0.09,1.68,1.53,-1.87,1.41,6.18,7.49,-1.21,5.8,4.35,0.69
6926.84,-1.33,2.21,0.72,0.31,4.8,5.34,7.74,6.12,0.32,2.06,2.83,3.29,4.43,5.91,-0.28,8.99,-0.45,0.76,2.17,-1.72,1.62,4.88,6.91,-1.43,6.63,4.9,0.64
6951.89,-1.29,2.55,0.43,0.5,5.19,5.48,5.07,5.86,0.73,0.42,2.89,3.6,4.04,6.58,0.53,9.71,0.15,0.3,2.84,-1.38,1.92,3.02,5.77,-0.61,6.6,5.04,2.12
6976.94,-0.36,2.4,0.5,0.4,5,5.01,3.8,4.98,1.49,-0.24,2.56,2.73,4.12,6.23,1.67,9.45,1.76,0.57,3.86,-1.33,2.34,1.76,3.81,-0.48,5.57,4.23,3.61
7001.99,1,1.51,0.82,-0.12,4.42,4.18,3.83,4.35,2.17,-0.04,2.3,1.15,4.28,4.87,1.97,8.36,3.29,0.67,4.4,-1.6,2.77,1.65,1.29,-1.2,3.95,2.48,3.53
7027.04,2.09,0.79,1.6,-0.8,3.98,3.54,4.34,3.54,2.93,0.75,2.89,0.15,4.27,3.27,1.56,7.53,3.42,-0.23,3.75,-1.27,2.7,2.31,-0.97,-1.57,3.03,0.58,2.11
7052.09,2.39,0.72,2.75,-1.5,3.4,3.18,4.73,3.09,2.98,1.58,3.69,0.43,4.23,2.73,0.8,7.37,2.34,-1.69,3,0.02,1.92,2.91,-2.22,-1.32,3.9,-0.44,0.64
7077.14,2.14,0.58,3.91,-2.28,1.98,2.91,5.27,2.63,0.7,1.76,3.4,1.49,4.23,3.84,0.08,7.05,1.12,-2.25,3.22,1.07,0.94,2.66,-1.76,-1.06,5.56,-0.06,-0.44
7102.19,2.08,0.12,4.58,-2.96,-0.07,2.77,6.27,2.4,0.5,1.28,3.88,1.94,4.23,5.46,-0.5,6.05,0.26,-1.21,3.59,0.89,0.02,1.35,0.69,-0.12,5.92,1.44,-1.19
7127.25,2.18,0.3,4.6,-2.87,-1.29,2.89,6.81,2.41,1.09,0.96,4.48,1.14,4.2,5.99,-1.11,4.97,-0.15,0.35,3.17,0.27,-0.8,-0.32,3.73,0.9,4.97,3.31,-1.16
7152.3,1.82,1.74,4.76,-1.43,-0.93,3.36,6.01,2.15,2.32,1.51,4.17,0.01,4.13,5.13,-1.37,4.41,0.09,0.87,2.14,0,-0.95,-1.45,4.84,1.75,4.32,6.15,-0.6
7177.35,0.82,3.82,5.44,0.39,-0.12,4.21,4.43,2.32,3.53,2.97,3.04,-0.69,3.94,3.99,-0.82,4.44,1.19,0.26,0.79,-0.14,-0.28,-1.85,3.37,1.86,4.18,6.6,-0.67
7202.4,-0.05,5.52,5.51,0.61,0,5.19,3.08,3,3.42,4.38,1.61,-1.4,3.54,3.81,0.19,4.8,2.88,-0.68,-0.6,-0.47,0.45,-1.86,1.16,0.94,3.54,5.98,-1.31
7227.45,0.13,6.46,4.2,-0.71,-0.2,5.67,2.36,2.92,2,4.6,0.06,-2.26,3,4.39,0.79,4.68,4.22,-1.56,-1.36,-2.32,0.66,-1.56,0.13,-0.4,2.29,4.54,-1.57
7252.5,1.01,6.49,2.54,-1.6,-0.25,5.34,2.32,1.63,0.7,3.98,-0.8,-2.68,2.48,4.51,0.59,3.43,4.63,-1.81,-1.16,-3.17,0.87,-0.75,0.4,-1.08,1.4,3.21,-1.53
7277.55,1.62,5.21,1.61,-1.69,-0.79,4.87,2.9,0.3,0.65,3.77,0.02,-2.49,2.02,3.73,-0.19,1.65,4.19,-0.97,-0.41,-3.37,1.1,0.56,0.62,-0.67,1.74,2.75,-1.57
7302.6,2.34,2.75,1.36,-2.24,-2.08,4.69,3.8,0.33,1.76,4.22,1.83,-2.06,1.62,2.57,-1.15,0.57,3.33,-0.06,0.42,-3.69,1.02,1.94,0.37,-0.01,2.98,3.04,-1.48
7327.65,3.52,0.12,1.6,-3.09,-2.78,4.06,4.67,1.87,2.94,4.73,2.93,-1.59,1.43,1.7,-1.83,0.79,2.6,-0.33,1.46,-4.47,1.14,2.58,0.9,-0.15,3.67,3.48,-0.97
7352.7,3.94,-1.74,2.14,-3.06,-2.06,2.75,4.82,3.54,3.34,4.66,2.69,-1.34,1.43,1.4,-1.72,1.84,2.06,-1.13,2.79,-4.88,2.09,1.82,2.36,-0.63,3.01,3.95,-0.17
7377.75,2.72,-2.47,2.15,-2.18,-1.05,1.53,3.6,3.73,3.06,3.6,1.87,-1.61,1.44,1.48,-0.77,2.78,1.19,-1.19,3.42,-4.29,3.36,0.17,3.06,-0.27,1.52,4.89,0.14
7402.81,0.74,-1.8,1.71,-1.43,-1.19,0.76,1.59,2.49,2.44,1.78,1.6,-1.94,1.52,1.58,0.37,3.08,-0.05,-0.46,2.46,-2.99,3.82,-0.93,2.4,0.74,0.05,6.02,-0.67
7427.86,-0.54,0.35,1.26,-0.96,-2.18,0.2,0.14,1.46,2.47,0.33,2.54,-1.46,1.82,1.44,1.28,2.86,-0.72,0.38,0.76,-1.4,3.08,-0.89,1.19,1.35,-0.61,6.41,-1.78
7452.91,-0.29,2.88,0.55,-0.36,-2.5,-0.26,-0.4,1.51,4.19,0.22,3.93,-0.36,2.29,0.98,2.05,2.67,-0.17,0.69,-0.27,0.08,1.52,-0.42,0.27,1.26,-0.14,6.15,-1.81
7477.96,0.88,3.94,0.98,-0.03,-1.96,-0.35,-0.59,1.83,6.28,0.81,4.26,0.27,2.92,0.56,2.54,2.92,1.04,0.29,-0.26,0.66,0.04,-0.06,0.37,0.25,0.86,6.35,-0.91
7503.01,1.44,3.19,2.17,-0.59,-1.82,0.23,-0.8,1.8,6.37,0.67,2.89,0.19,3.52,0.64,2.53,3.43,1.42,-0.31,0.51,-0.3,-0.44,0.22,1.44,-1.68,1.35,7.27,-0.46
7528.06,1.05,2.37,3.01,-1.4,-2.4,1.34,-0.8,1.8,4.33,-0.04,0.62,0.1,3.52,1.16,2.38,4.07,0.29,-0.42,1.49,-2.27,-0.08,0.33,2.11,-3.15,0.74,7.63,-0.97
7553.11,0.81,2.7,2.83,-0.99,-2.7,2.41,-0.71,2.05,1.64,0.19,-0.95,0.41,2.68,1.72,2.22,5.11,-0.12,0.05,1.82,-3.71,0.22,0.1,1.78,-2.83,-0.37,6.46,-1.36
7578.16,1.2,3.59,2.41,-1.01,-2.6,2.91,-0.98,2.17,-0.55,1.76,-0.79,0.63,1.67,2.22,1.69,6.13,-0.54,0.51,1.09,-3.55,0.34,-0.18,1.47,-1.06,-0.61,4.45,-0.96
7603.21,1.33,4.06,2.97,-1.18,-3.07,2.65,-1,1.75,-1.66,3.14,0.47,0.11,1.5,2.69,1.21,6.32,0.79,0.37,-0.07,-2.22,0.72,-0.18,1.8,1.18,0.51,2.82,-0.8
7628.27,0.3,3.62,4.16,-0.57,-3.99,2.1,0.23,0.4,-1.62,3.07,1.08,-0.91,2.5,2.89,1.45,5.71,3.09,-0.13,-0.77,-0.88,1.47,-0.11,2.26,2.74,2.08,2.09,-1.73
7653.32,-1.53,2.12,4.79,1.09,-3.87,1.86,2.08,-1.6,-0.87,1.9,0.41,-1.7,4.1,2.56,1.88,4.52,3.79,-0.32,-0.73,-0.4,2.54,-0.23,2.34,2.61,2.81,2.19,-2.99
7678.37,-2.85,0.3,4.52,2.83,-2.26,2.02,3.12,-2.68,0,0.7,-0.21,-1.99,5.27,1.83,1.68,3.07,2.23,-0.29,-0.1,-1.01,3.65,-0.25,2,1.38,2.31,2.86,-3.68
7703.42,-2.86,-0.22,3.79,2.69,-0.75,2.5,3.23,-1.66,0.53,0.15,0.48,-1.82,5.31,1.19,1.17,2.5,-0.2,-0.76,0.8,-2.34,4.27,-0.01,1.42,0.85,1.41,3.52,-3.76
7728.47,-2.05,1.32,3.15,-0.17,-0.58,3.11,3.23,0.23,0.88,0.24,2.18,-1.29,4.52,1.16,1.1,3.4,-1.92,-1.79,1.49,-3.83,4.44,-0.26,0.79,1.45,1.19,3.52,-3.54
7753.52,-1.35,3.54,2.93,-3.96,-1.2,3.5,3.35,0.9,1.6,0.69,3.82,-0.32,3.85,1.66,1.81,4.87,-2.76,-2.34,1.26,-4.99,4.9,-1.27,0.08,1.95,1.63,3,-2.9
7778.57,-1.13,4.34,3.03,-5.97,-1.56,3.58,3.5,0.18,2.63,1.32,4.7,1.22,3.68,1.86,2.83,5.95,-3.51,-1.81,-0.01,-5.43,5.53,-1.91,-0.26,1.74,2.1,2.58,-1.53
7803.62,-1.04,3.31,3.05,-5.44,-1.5,3.33,3.87,-0.43,3.47,1.96,4.73,2.69,3.93,1.33,2.71,6.44,-4.21,-1.27,-1.31,-5.33,5.11,-1.33,0.45,1.53,2.46,2.49,0.08
7828.67,-0.71,2.2,2.45,-4.2,-1.41,2.95,4.13,-0.39,4.1,2.23,4.33,2.88,4.3,0.78,0.76,6.24,-4.18,-1.77,-1.59,-5.4,3.29,-0.11,1.87,0.6,2.59,2.85,0.85
7853.72,-0.41,1.92,1.2,-3.98,-1.38,2.78,3.53,-0.67,4.24,2.08,3.99,1.74,4.67,0.8,-1.59,5.36,-3.53,-2.82,-0.73,-5.49,1.51,0.61,3.23,-0.18,2.26,3.76,0.63
7878.78,-0.49,0.89,0.33,-4.24,-1.57,2.55,2.15,-1.78,3.02,2.05,3.41,0.28,5.24,0.97,-2.7,4.11,-3.48,-3.6,-1.26,-4.57,0.89,0.06,4.22,-0.7,1.98,4.92,0.38
7903.83,-0.54,-1.42,0.73,-3.93,-2,1.98,0.65,-3,0.83,2.29,1.77,-0.97,4.66,1.05,-2.63,2.82,-4.78,-4.12,-2.28,-2.34,0.73,-1.39,4.07,-0.84,2.45,5.9,0.56
7928.88,-0.09,-2.77,2.08,-3.11,-2.13,1.5,-0.71,-3.36,-0.43,1.97,-0.34,-1.88,3.4,1.3,-2.44,1.8,-5.97,-4.38,-3.03,0.1,0.31,-2.43,2.38,0.18,3.31,6.45,0.48
7953.93,0.35,-1.89,3.76,-2.27,-1.98,1.56,-1.67,-2.41,0.1,0.9,-1.2,-2.22,2.37,1.68,-2.24,1.35,-5.03,-4.1,-3.06,1.19,0.2,-2.24,0.92,2.26,3.8,6.51,-0.52
7978.98,0.04,-0.09,4.57,-1.7,-2.13,2.28,-1.57,-0.91,1.46,0.37,-0.76,-2.35,1.65,1.77,-1.38,1.43,-2.58,-3.23,-2.54,0.17,0.89,-1.3,1.37,3.75,4.05,6.14,-2.03
8004.03,-0.78,1.29,5.39,-1.73,-2.2,3,-0.29,-0.25,2.24,1.19,-0.27,-2.73,1.5,1.29,-0.3,1.95,-0.83,-2.2,-2.17,-2.04,1.79,-0.61,2.37,3.72,4.28,5.38,-3.16
8029.08,-1.26,1.99,6.37,-2.29,-1.32,2.62,1.21,-0.47,1.96,2.55,0.09,-3.09,2.3,0.52,-0.35,3.18,-0.66,-1.87,-2.29,-3.47,2.08,-0.53,1.49,3.01,3.92,4.52,-3.49
8054.13,-1.23,2.13,6.42,-2.82,0.19,1.29,2.05,-0.66,1.41,3.31,0.47,-2.92,3.41,0.41,-1.72,5.06,-1.66,-2.47,-2.36,-3.35,1.63,-0.83,-0.76,2.51,2.83,3.89,-3.39
8079.18,-1.25,1.7,6.14,-3.14,1.22,0.29,2.5,-1.04,1.21,3.19,0.42,-1.93,3.86,1.38,-3.17,6.53,-3.07,-2.75,-1.92,-2.6,0.8,-1.23,-1.76,2.48,1.99,3.51,-3.36
8104.23,-1.37,0.98,5.98,-3.62,1.16,0.31,3.13,-2.06,0.8,3.08,0.31,-0.25,3.55,2.55,-3.43,6.92,-3.8,-1.85,-1.45,-2.26,0.5,-1.46,-0.76,2.72,1.98,3.33,-3.21
8129.29,-1.02,0.81,5.56,-4.14,0.31,1.01,3.44,-2.65,0.18,2.39,1.13,1.44,2.94,2.88,-2.13,6.89,-3.05,-0.66,-1.08,-2.47,0.2,-1.28,1.03,2.37,1.98,3.46,-2.57
8154.34,-0.31,1.59,4.4,-4.34,-0.4,1.66,2.58,-1.98,0.35,1.81,2.7,2.42,2.27,2.59,0,7.19,-1.24,-0.23,-0.4,-2.95,0.41,-0.6,2.78,0.78,1.31,3.6,-1.82
8179.39,0.2,2.69,2.65,-4.38,-0.14,1.9,1.15,-1.45,1.36,1.15,3.77,2.67,1.68,2.71,1.65,7.47,-0.04,-0.45,-0.01,-3.49,1.18,0.23,4.11,-1.09,0.37,3.4,-1.38
8204.44,0.73,3.05,1.36,-4.14,0.89,1.98,0.36,-2.67,2.18,0.42,3.58,2.42,1.47,3.37,2.06,6.97,-0.73,-1.15,-0.56,-3.64,1.56,0.4,4.49,-1.89,-0.44,3.28,-0.9
8229.49,0.98,2.49,1.4,-3.3,1.62,2.16,0.03,-4.67,2.12,0.27,2.63,1.51,1.92,3.59,1.36,5.96,-2.68,-2.64,-1.2,-3.05,1.25,-0.49,4.02,-1.79,-0.92,3.61,-0.29
8254.54,-0.22,2.02,2.25,-2.5,1.51,2.44,-0.75,-5.23,1.05,0.87,1.76,-0.15,2.97,2.95,-0.09,5.5,-4.07,-4.64,-1.12,-2.05,0.71,-1.69,3.29,-1.46,-0.64,3.56,-0.28
8279.59,-2.49,2.13,2.88,-2.6,0.48,2.77,-1.87,-3.81,-0.4,1.53,1.56,-1.71,3.91,1.82,-1.71,5.8,-3.67,-5.83,-0.97,-1.15,0.27,-2.25,2.32,-0.69,0.47,2.58,-0.95
8304.64,-3.66,1.83,3.28,-3.35,-1.32,3.05,-2.26,-1.74,-1.01,1.74,1.93,-2.17,4.06,0.48,-2.58,5.99,-1.71,-5.11,-1.41,-0.45,0.25,-2.2,0.92,0.52,2.11,1.45,-1.42
8329.69,-2.96,0.8,3.94,-3.96,-2.71,3.27,-1.89,-0.79,-0.48,1.25,1.9,-1.61,3.72,-0.82,-0.44,4.59,0.29,-2.13,-1.83,-0.59,0.77,-1.99,-0.3,1.45,3.91,0.94,-1.22
8354.75,-1.69,0.46,5.04,-3.89,-2.51,3.44,-1.52,-1.71,0.52,0.02,1.23,-0.65,3.6,-1.49,0.38,4.02,0.78,-2.51,-1.25,-2.25,1.18,-1.79,-0.09,1.59,4.99,1.25,-0.84
8379.8,-0.82,1.49,6.52,-2.98,-1.21,3.08,-0.64,-3.19,1.74,-0.89,1.01,0.33,3.52,-1.19,-0.62,4.42,-0.11,-3.48,0.25,-4.3,0.73,-1.66,1.6,1.22,4.51,2.55,-0.73
8404.85,-0.32,2.45,7.98,-1.87,-0.16,1.55,-0.66,-3.41,2.91,-0.26,1.41,0.95,2.98,-0.44,-2.31,5.09,-0.94,-4.24,1.61,-4.83,-0.06,-1.85,2.97,0.83,2.9,4.18,-0.64
8429.9,-0.34,2.26,8.87,-1.68,-0.12,-0.61,-1.01,-2.42,3.35,1.06,1.5,0.98,2.37,-0.24,-3.12,4.75,-1.14,-4.67,1.76,-3.57,0.13,-2.28,2.63,0.29,1.46,4.9,-0.39
8454.95,-0.93,1.97,9.23,-2.41,-1.02,-1.44,-0.59,-1.4,3.12,1.13,1.42,0.64,2.62,-0.83,-2.46,3.23,-1.33,-4.45,0.36,-1.65,1.57,-2.64,1.4,-0.63,0.73,4.84,-0.25
8480,-1.45,2.39,9.36,-2.86,-2.26,0.19,0.46,-1,2.87,-0.13,1.86,-0.05,3.66,-1.36,-0.86,1.87,-1.89,-3.28,-1.67,-0.12,2.82,-2.75,0.89,-1.15,0.46,5.31,-0.2
8505.05,-1.07,2.6,8.97,-2.89,-3.06,2.45,1.16,-1.14,2.62,-0.99,2.47,-1.21,4.35,-1.05,0.24,1.9,-2.47,-1.81,-2.7,0.69,2.58,-2.71,1.48,-0.86,0.7,6.4,0
8530.1,0.13,1.75,7.64,-3.45,-2.93,2.73,1.11,-1.01,1.9,-0.65,2.55,-2.02,4.29,-0.14,0.15,2.91,-2.39,-1.22,-2.35,0.99,1.55,-2.49,2.49,-0.56,1.23,6.75,0.06
8555.15,1.24,0.52,6.74,-4.06,-2,1.53,0.81,0.38,0.79,-0.23,2.46,-1.28,4.29,0.72,0.16,3.95,-1.64,-1.88,-1.56,0.86,1.07,-1.93,3.16,0.46,1.26,5.7,-0.55
8580.2,1.61,0.16,5.84,-3.55,-0.84,1.62,0.62,2.37,0.29,-0.77,2.99,0.57,4.4,1.61,1.47,5.19,-0.83,-3.29,-1.11,0.19,0.94,-1.19,3.05,0.55,0.66,4.27,-1.54
8605.25,1.41,0.94,4.4,-2.25,-0.03,3.53,0.43,3.05,1.21,-1.72,3.81,1.55,4.5,2.83,2.98,6.44,-0.36,-4.4,-0.81,-0.63,0.68,-0.74,2.24,-0.51,0.1,3.75,-1.9
8630.31,0.99,1.52,3.44,-0.95,0.08,4.67,0.19,1.84,2.81,-1.76,4.07,0.75,3.93,3.73,2.92,6.72,-0.57,-4.16,0.17,-0.71,0.65,-0.89,1.81,-1.46,0.05,4.39,-1.37
8655.36,0.59,1.03,2.88,-0.2,-0.17,3.54,-0.28,0.04,3.49,-0.89,3.92,-1,2.49,3.61,1.8,6.16,-1.55,-3.01,2.09,-0.13,0.75,-1.44,2.39,-1.47,0.54,5.22,-0.98
8680.41,0.44,0.48,2.57,-0.38,0.2,1.73,-1.23,-1.05,2.99,-0.25,3.61,-2.66,1.29,3.15,1.04,5.91,-2.85,-2.51,3.79,-0.01,0.45,-1.62,1.66,-1.11,1.26,5.04,-1.65
8705.46,0.36,0.4,2.11,-1.07,1.14,0.88,-1.87,-1.08,2.76,-0.07,3.01,-3.85,0.92,2.69,0.64,6.38,-4.1,-2.93,4.22,-0.38,0.01,-1.07,0.65,-0.7,1.9,3.8,-3.07
8730.51,-0.05,-0.08,1.68,-1.72,1.67,1.13,-1.08,-0.46,3.7,0.01,2.58,-4.24,1.13,1.45,0.24,6.99,-5.02,-3.19,3.4,-0.14,-0.02,-0.3,0.87,0.16,2.37,2.8,-4.35
8755.56,-0.88,-0.81,1.95,-2.5,1.84,2.49,0.75,0.27,4.48,-0.2,2.69,-3.19,1.5,0.59,-0.05,7.27,-5.02,-2.92,1.87,0.63,0.44,0.18,1.71,1.17,2.34,2.93,-4.73
8780.61,-2.08,-0.8,2.63,-3.26,2.07,4.51,1.93,0.65,3.6,-0.64,2.8,-0.9,1.84,0.99,-0.23,7.46,-4.13,-2.49,0.53,0.66,1.13,0.4,2.29,1.44,1.43,3.68,-3.78
8805.66,-3.5,0.08,2.68,-3.35,1.92,5.58,1.52,0.19,1.75,-0.44,2.58,1.41,2.04,2.19,-0.15,7.51,-2.95,-1.96,0.4,-0.31,1.74,0.47,2.56,0.78,0.11,4,-1.82
8830.71,-4.25,1.49,2.16,-2.68,1.04,4.88,0.01,-0.86,0.51,0.7,2.37,2.88,1.94,2.56,0.06,6.68,-1.54,-1.71,1.46,-1.6,1.73,0.55,2.85,-0.31,-0.58,3.29,0.11
8855.77,-3.46,2.85,2.26,-1.85,-0.06,3.36,-1.49,-1.47,0.53,1.85,1.94,2.89,1.33,1.56,-0.01,5.31,-0.28,-2.13,2.51,-2.5,0.78,0.66,3.49,-1.18,-0.1,2.08,1.07
8880.82,-1.93,3.29,3.31,-1.33,-0.57,2.27,-2.32,-0.8,1.34,1.7,0.93,1.09,0.51,0.46,0.38,4.7,-0.28,-2.4,2.71,-2.66,-0.81,0.38,4.52,-1.31,1.03,1.53,0.99
8905.87,-1.21,2.96,4.32,-1.33,-0.4,1.74,-2.55,0.77,1.82,0.18,-0.02,-1.03,0.02,0.56,1.84,4.78,-1.59,-1.67,2.54,-2.68,-2.41,-0.48,5.18,-0.81,1.95,2.02,0.63
8930.92,-1.01,2.79,4.9,-2.01,-0.39,1.33,-2.58,1.36,1.01,-1.58,-0.05,-1.39,-0.05,1.91,3.13,4.56,-2.89,-0.76,2.46,-3.59,-3.02,-1.46,4.53,-0.43,2.39,2.69,0.39
8955.97,0.07,2.84,5.68,-3.15,-0.64,1.08,-2.37,-0.03,-0.63,-2.7,0.68,-0.1,-0.19,3.61,3.32,4.35,-3.61,-0.76,1.9,-4.95,-2.47,-1.99,3,-0.88,2.44,2.83,0.19
8981.02,1.68,2.83,6.57,-4.33,-0.37,1.47,-1.29,-2.02,-1.52,-2.74,1.47,1.29,-0.72,4.57,3.06,4.83,-4.12,-1.64,0.42,-5.2,-1.93,-1.69,2.52,-1.97,2.27,2.52,-0.09
9006.07,2.16,2.97,6.85,-5.58,0.11,2.55,0.45,-3.22,-0.97,-1.64,1.69,2.1,-1.51,3.77,2.85,5.47,-4.13,-2.87,-1.21,-3.94,-0.24,-0.7,4.28,-2.79,2.29,2.27,-0.66
9031.12,1.1,3,6.24,-6.48,0.13,3.41,1.62,-3.66,0.25,-0.17,1.25,2.4,-1.87,1.52,2.32,5.71,-3.22,-3.75,-1.65,-2.36,0.22,0.17,6.79,-2.91,2.65,2.4,-1.52
9056.17,-0.45,2.31,4.91,-6.03,0.05,3.09,1.52,-3.41,1.42,0.51,0.77,1.99,-0.91,-0.29,1.03,5.94,-2.16,-3.66,-0.68,-1.58,-0.59,0.53,7.44,-2.69,2.74,2.46,-2.1
9081.22,-1.39,1.77,3.15,-4.46,0.19,1.95,0.77,-2.57,2.26,-0.22,0.78,1.11,0.94,-0.56,-0.73,6.04,-1.43,-2.88,0.27,-1.65,-0.99,0.88,5.99,-2.09,2.2,2.29,-1.91
9106.28,-1.3,2.88,2.44,-3.29,0.08,1.2,0.2,-1.7,2.12,-1.57,1.15,0.3,1.91,-0.07,-1.74,5.16,-0.64,-2.4,0.23,-2.18,-0.25,1.47,4.07,-0.78,1.59,3.01,-1.44
9131.33,-1.21,5.48,1.73,-2.97,-0.69,0.93,-0.07,-1.15,0.89,-1.76,1.37,-0.76,1.12,0.46,-1.08,3.7,-0.49,-2.6,-0.04,-2.87,0.5,1.77,2.73,0.45,1.26,5.06,-1.44
9156.38,-0.28,4.31,1.25,-2.89,-1.88,0.15,-0.42,-1.12,-0.27,-0.05,1.13,-2.09,-0.49,1.12,0.46,3.2,-1.86,-2.74,0.27,-3.29,0.24,1.12,2.14,0.48,0.92,6.58,-1.4
9181.43,0.3,3.03,1.73,-2.98,-2.71,-0.49,-1.11,-1.89,-0.67,2.46,0.59,-2.49,-1.39,1.74,1.01,4.28,-3.26,-2.29,0.6,-3.12,-0.74,-0.46,1.94,-0.34,0.83,5.91,-1.46
9206.48,-0.09,2.65,2.94,-3.51,-2.6,-0.36,-1.99,-3.05,-0.64,4.32,0.26,-1.69,-1.03,2.27,0.26,5.68,-3.04,-1.87,-0.09,-2.64,-1.74,-2.24,1.66,-1.32,1.64,3.94,-1.42
9231.53,-0.86,2.7,4.12,-4.02,-1.87,0.37,-2.26,-3.62,-0.19,4.7,0.37,-1.18,-0.26,2.99,-0.07,5.98,-2.76,-2.28,-1.81,-2.53,-2.31,-3.61,1.84,-1.87,2.92,2.27,-1.1
9256.58,-1.25,2.48,4.23,-3.99,-1.16,1.04,-1.35,-3.25,0.41,3.6,0.51,-1.74,-0.27,3.69,0.6,5.11,-3.65,-3.34,-3.34,-2.94,-2.21,-4.14,3.07,-2.41,3.33,0.94,-1.39
9281.63,-1.25,2.08,3.5,-3.69,-0.59,1.24,-0.26,-2.75,0.2,1.93,0.4,-2.74,-1.33,3.91,0.94,3.84,-3.74,-4.03,-3.77,-3.04,-1.52,-3.32,4.25,-3.14,2.47,-0.4,-2.54
9306.68,-1.28,1.8,3.17,-3.78,-0.02,1.34,-0.19,-2.25,-0.95,0.71,-0.11,-3.4,-2.7,3.68,0.57,2.94,-2.31,-3.74,-3.59,-2.19,-0.55,-1.6,4,-2.5,1.52,-1.23,-3.34
9331.73,-1.39,1.58,3.11,-4.42,-0.17,1.65,-0.38,-1.14,0.42,0.3,-0.36,-3.1,-3.34,3.12,0.6,2.75,-1.56,-2.94,-3.63,-1.45,0.51,-0.52,3.02,-0.63,1.57,-1.15,-3.14
9356.79,-1.24,1.36,1.87,-4.88,-1.81,2.01,0.38,-0.52,1.83,0.58,-0.04,-1.73,-3.11,2.15,1.22,2.99,-2.2,-2.27,-3.9,-2.01,1.46,-0.9,2.33,0.84,2.13,-0.34,-2.9
9381.84,-0.83,1.35,-0.42,-4.47,-3.93,2.38,1.58,-1.02,1.44,1.42,0.85,-0.19,-2.88,1.07,1.68,3.14,-2.65,-1.88,-3.68,-2.81,2.05,-1.8,1.16,1,1.99,0.92,-3.36
9406.89,-0.61,1.63,-1.79,-3.61,-4.64,2.71,2.31,-2.6,0.13,2.45,1.52,0.75,-1.74,0.4,1.93,3.29,-2.08,-1.78,-2.79,-2.34,2.08,-1.97,-0.88,0.5,1.01,1.95,-3.91
9431.94,-0.89,1.85,-1.46,-3.12,-3.95,2.6,2.52,-3.79,0,3.07,1.51,1.23,-0.46,0.17,2.23,3.93,-0.86,-1.78,-1.87,-1.39,1.62,-1.39,-2.1,-0.04,0.15,2.43,-3.86
9456.99,-1.43,1.48,-0.56,-3.15,-3.09,2.13,2.1,-3.17,1.17,3,1.01,1.2,0.13,0.35,2.13,5.1,0.28,-1.72,-1.43,-1.22,0.9,-1.06,-1.35,-0.57,0.2,2.92,-3.36
9482.04,-1.52,0.45,-0.34,-3.4,-2.27,1.88,1.17,-1.43,2.06,2.93,0.39,0.59,-0.67,1.4,1.14,6.05,0.64,-1.9,-1.34,-1.71,0.33,-1.59,0.55,-0.75,1.23,3.58,-2.64
9507.09,-0.9,-0.74,-1,-3.61,-1.56,1.97,0.81,-0.34,1.92,2.31,0.39,0.54,-1.98,2.95,-0.31,6.46,-0.03,-2.72,-1.06,-2.16,0.07,-2.43,2.35,-0.61,2.7,3.91,-1.6
9532.14,-0.01,-1.2,-2.04,-3.66,-1.63,2.19,1.3,-0.39,1.52,1.5,1.5,1.65,-1.97,3.34,-1.28,6.78,-1.34,-3.83,-0.32,-2.04,-0.05,-2.76,2.96,-0.77,3.57,3.78,-0.58
9557.19,0.4,-0.16,-2.78,-3.41,-2.24,2.56,1.44,-0.87,1.6,0.68,2.44,2.48,-0.3,1.98,-1.36,6.82,-2.71,-4.64,0.44,-1.32,-0.41,-2.54,1.99,-1.29,3.21,3.79,-0.41
9582.25,-0.16,1.86,-2.65,-2.82,-2.57,3,0.61,-0.95,1.86,0.22,1.61,1.9,1.2,0.29,-1.31,6.06,-3.75,-5.11,0.82,-0.62,-1.28,-2.25,0.82,-1.5,2.26,3.86,-1.13
9607.3,-1.1,2.93,-1.6,-2.38,-2.32,3.14,-0.23,-0.31,1.75,0.61,-0.17,0.55,1.05,-0.64,-2.06,5.11,-4.32,-5.3,0.89,-0.4,-2.35,-2.41,0.87,-1.28,1.74,3.93,-1.94
